"user id	","tweets content	",created on,
CNN,"K-pop group BTS took a ride with ""The Late Late Show"" host James Corden for some ""Carpool Karaoke."" https://t.co/kOKkuOMmrX https://t.co/s5Ez5uGHUe",2/29/2020 1:31,
CNN,"Bob Iger has stepped down as Disney's CEO. During his tenure:

▪ Marvel Studios, Pixar, Lucasfilm and 21st Century Fox were acquired
▪ Galaxy's Edge opened at Disneyland and Walt Disney World
▪ Disney+ launched

https://t.co/Gld4kO1wxu https://t.co/L1BhhYQerb",2/29/2020 1:19,
CNN,The Federal Communications Commission wants America's biggest wireless carriers to pay tens of millions of dollars to resolve accusations the companies failed to protect the privacy of US cellphone users https://t.co/rKDCFSQhfn,2/29/2020 1:19,
CNN,"""Shark Tank"" judge Barbara Corcoran lost nearly $400,000 in an elaborate email scam that tricked her staff. https://t.co/nXodzyPlmT https://t.co/eovAqyxDR1",2/29/2020 1:16,
CNN,"Although physicians still have no vaccine or cure for the novel coronavirus, health officials and pharmaceutical companies around the world are working hard to develop them. Here are some recent developments in the race to find treatments for the virus. https://t.co/jCwZoEALGM",2/29/2020 1:13,
CNN,"Heaven Fitch beat her rival in the 106-pound weight class and became the first female to win a high school wrestling state championship in North Carolina, according to the North Carolina High School Athletic Association https://t.co/xajpjHmyoc https://t.co/NUaCbMsc2a",2/29/2020 1:12,
CNN,"Sen. Bernie Sanders holds substantial leads in the two largest states to vote in next week’s Super Tuesday lineup of primaries, according to new CNN polls. @JohnKing breaks down the numbers. https://t.co/04QNsQ3Fsc https://t.co/knaSdOQWV6",2/29/2020 1:08,
CNN,This mother of five from Washington state was able to guess a five-word 'Wheel of Fortune' puzzle with only two letters given https://t.co/iycl5QaoSR https://t.co/oLtDcbU595,2/29/2020 1:07,
CNN,"Lucy the Elephant, the New Jersey-based attraction whose claim to fame is being the world's largest elephant and the oldest roadside attraction in the United States, will soon open its doors to overnight guests for the first time in over 100 years. https://t.co/gv3WIQXByY https://t.co/4EZe60WB7G",2/29/2020 1:05,
CNN,"Boeing's Starliner spacecraft, which was slated to begin flying NASA astronauts to the International Space Station this year, faces new questions about safety after a botched test flight in December https://t.co/F9UP6IEfdx",2/29/2020 1:01,
CNN,"Sen. Cory Booker on the Trump campaign's outreach to black voters: ""Their goal is not to win the black vote. That will not happen. But it seems like their play is to do what they saw the last time, ... reduce black turnout, ... and to try to scrape and attract 5%, 6%."" https://t.co/IZTw0FzU30",2/29/2020 1:00,
CNN,Actor @mrdannyglover says he's thrown his support behind Bernie Sanders' bid for the White House because of the senator's history and authenticity. https://t.co/xuLTFiWRQ1 https://t.co/c1Kxj86mgn,2/29/2020 12:58,
CNN,".@andersoncooper: ""Do you feel like the government... is prepared for this [coronavirus]? Is America prepared for this?"" 

Democratic Rep. Jimmy Gomez: ""I hope so. Right now it feel like it was a discombobulated effort. One agency doesn't know what the other agency is doing."" https://t.co/7X4uz05Zwq",2/29/2020 12:54,
